[01/Jul/2018 23:58:00] DEBUG [django.db.backends:111] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.465) CREATE TABLE `QA_question_related` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `question_id` integer NOT NULL, `languages_id` integer NOT NULL); args=None
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.004) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_question_related'; args=['QA_question_related']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_question_related'; args=['QA_question_related']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_question_related'; args=['QA_question_related']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends.schema:124] ALTER TABLE `QA_answer` ADD COLUMN `question_id` integer NOT NULL; (params [])
[01/Jul/2018 23:59:07] DEBUG [django.db.backends:111] (0.621) ALTER TABLE `QA_answer` ADD COLUMN `question_id` integer NOT NULL; args=[]
[01/Jul/2018 23:59:07] DEBUG [django.db.backends:111] (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_answer'; args=['QA_answer']
[01/Jul/2018 23:59:07] DEBUG [django.db.backends.schema:124] ALTER TABLE `QA_answer` ADD COLUMN `user_id` integer NOT NULL; (params [])
[01/Jul/2018 23:59:08] DEBUG [django.db.backends:111] (0.543) ALTER TABLE `QA_answer` ADD COLUMN `user_id` integer NOT NULL; args=[]
[01/Jul/2018 23:59:08] DEBUG [django.db.backends:111] (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_answer'; args=['QA_answer']
[01/Jul/2018 23:59:08] DEBUG [django.db.backends.schema:124] ALTER TABLE `QA_question` ADD CONSTRAINT `QA_question_user_id_fe9e529e_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); (params ())
[01/Jul/2018 23:59:09] DEBUG [django.db.backends:111] (0.853) ALTER TABLE `QA_question` ADD CONSTRAINT `QA_question_user_id_fe9e529e_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); args=()
[01/Jul/2018 23:59:09] DEBUG [django.db.backends.schema:124] ALTER TABLE `QA_question_related` ADD CONSTRAINT `QA_question_related_question_id_4342caf1_fk_QA_question_id` FOREIGN KEY (`question_id`) REFERENCES `QA_question` (`id`); (params ())
[01/Jul/2018 23:59:09] DEBUG [django.db.backends:111] (0.840) ALTER TABLE `QA_question_related` ADD CONSTRAINT `QA_question_related_question_id_4342caf1_fk_QA_question_id` FOREIGN KEY (`question_id`) REFERENCES `QA_question` (`id`); args=()
[01/Jul/2018 23:59:09] DEBUG [django.db.backends.schema:124] ALTER TABLE `QA_question_related` ADD CONSTRAINT `QA_question_related_languages_id_5964da7d_fk_account_l` FOREIGN KEY (`languages_id`) REFERENCES `account_languages` (`id`); (params ())
[01/Jul/2018 23:59:10] DEBUG [django.db.backends:111] (0.597) ALTER TABLE `QA_question_related` ADD CONSTRAINT `QA_question_related_languages_id_5964da7d_fk_account_l` FOREIGN KEY (`languages_id`) REFERENCES `account_languages` (`id`); args=()
[01/Jul/2018 23:59:10] DEBUG [django.db.backends.schema:124] ALTER TABLE `QA_question_related` ADD CONSTRAINT QA_question_related_question_id_languages_id_646d7a1a_uniq UNIQUE (`question_id`, `languages_id`); (params ())
[01/Jul/2018 23:59:10] DEBUG [django.db.backends:111] (0.302) ALTER TABLE `QA_question_related` ADD CONSTRAINT QA_question_related_question_id_languages_id_646d7a1a_uniq UNIQUE (`question_id`, `languages_id`); args=()
[01/Jul/2018 23:59:10] DEBUG [django.db.backends.schema:124] ALTER TABLE `QA_answer` ADD CONSTRAINT `QA_answer_question_id_d9eb9b45_fk_QA_question_id` FOREIGN KEY (`question_id`) REFERENCES `QA_question` (`id`); (params ())
[01/Jul/2018 23:59:11] DEBUG [django.db.backends:111] (0.683) ALTER TABLE `QA_answer` ADD CONSTRAINT `QA_answer_question_id_d9eb9b45_fk_QA_question_id` FOREIGN KEY (`question_id`) REFERENCES `QA_question` (`id`); args=()
[01/Jul/2018 23:59:11] DEBUG [django.db.backends.schema:124] ALTER TABLE `QA_answer` ADD CONSTRAINT `QA_answer_user_id_fe529aa8_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); (params ())
[01/Jul/2018 23:59:12] DEBUG [django.db.backends:111] (0.852) ALTER TABLE `QA_answer` ADD CONSTRAINT `QA_answer_user_id_fe529aa8_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); args=()
[01/Jul/2018 23:59:12] DEBUG [django.db.backends:111] (0.016) SHOW FULL TABLES; args=None
[01/Jul/2018 23:59:12] DEBUG [django.db.backends:111] (0.067) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('QA', '0001_initial', '2018-07-01 23:59:12.330061'); args=['QA', '0001_initial', '2018-07-01 23:59:12.330061']
[01/Jul/2018 23:59:12] DEBUG [django.db.backends:111] (0.000) 
            SELECT kc.`constraint_name`, kc.`column_name`,
                kc.`referenced_table_name`, kc.`referenced_column_name`
            FROM information_schema.key_column_usage AS kc
            WHERE
                kc.table_schema = DATABASE() AND
                kc.table_name = 'account_post'
        ; args=['account_post']
[01/Jul/2018 23:59:12] DEBUG [django.db.backends:111] (0.000) 
            SELECT c.constraint_name, c.constraint_type
            FROM information_schema.table_constraints AS c
            WHERE
                c.table_schema = DATABASE() AND
                c.table_name = 'account_post'
        ; args=['account_post']
[01/Jul/2018 23:59:12] DEBUG [django.db.backends:111] (0.000) SHOW INDEX FROM `account_post`; args=None
[01/Jul/2018 23:59:12] DEBUG [django.db.backends.schema:124] ALTER TABLE `account_post` DROP FOREIGN KEY `account_post_user_id_7502b583_fk_auth_user_id`; (params ())
[01/Jul/2018 23:59:12] DEBUG [django.db.backends:111] (0.063) ALTER TABLE `account_post` DROP FOREIGN KEY `account_post_user_id_7502b583_fk_auth_user_id`; args=()
[01/Jul/2018 23:59:12] DEBUG [django.db.backends.schema:124] ALTER TABLE `account_post` DROP COLUMN `user_id`; (params ())
[01/Jul/2018 23:59:13] DEBUG [django.db.backends:111] (0.897) ALTER TABLE `account_post` DROP COLUMN `user_id`; args=()
[01/Jul/2018 23:59:13] DEBUG [django.db.backends.schema:124] ALTER TABLE `account_blogpost` MODIFY `body` longtext NOT NULL; (params [])
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.725) ALTER TABLE `account_blogpost` MODIFY `body` longtext NOT NULL; args=[]
[01/Jul/2018 23:59:14] DEBUG [django.db.backends.schema:124] DROP TABLE `account_post` CASCADE; (params ())
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.141) DROP TABLE `account_post` CASCADE; args=()
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SHOW FULL TABLES; args=None
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.016) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('account', '0002_auto_20180701_2358', '2018-07-01 23:59:14.378949'); args=['account', '0002_auto_20180701_2358', '2018-07-01 23:59:14.378949']
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SHOW FULL TABLES; args=None
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.031) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'admin' AND `django_content_type`.`model` = 'logentry'); args=('admin', 'logentry')
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.016) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (1) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(1,)
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'admin'; args=('admin',)
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'auth' AND `django_content_type`.`model` = 'permission'); args=('auth', 'permission')
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.004) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'auth' AND `django_content_type`.`model` = 'group'); args=('auth', 'group')
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'auth' AND `django_content_type`.`model` = 'user'); args=('auth', 'user')
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.036) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (2, 3, 4) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(2, 3, 4)
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'auth'; args=('auth',)
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.016) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'contenttypes' AND `django_content_type`.`model` = 'contenttype'); args=('contenttypes', 'contenttype')
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (5) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(5,)
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'contenttypes'; args=('contenttypes',)
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'sessions' AND `django_content_type`.`model` = 'session'); args=('sessions', 'session')
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (6) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(6,)
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'sessions'; args=('sessions',)
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'account' AND `django_content_type`.`model` = 'blogpost'); args=('account', 'blogpost')
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'account' AND `django_content_type`.`model` = 'comment'); args=('account', 'comment')
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'account' AND `django_content_type`.`model` = 'languages'); args=('account', 'languages')
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'account' AND `django_content_type`.`model` = 'profile'); args=('account', 'profile')
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'account' AND `django_content_type`.`model` = 'techskill'); args=('account', 'techskill')
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (7, 8, 9, 11, 12) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(7, 8, 9, 11, 12)
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'account'; args=('account',)
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'Mentor' AND `django_content_type`.`model` = 'mentor'); args=('Mentor', 'mentor')
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (13) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(13,)
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'Mentor'; args=('Mentor',)
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'QA' AND `django_content_type`.`model` = 'answer'); args=('QA', 'answer')
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'QA' AND `django_content_type`.`model` = 'answer'); args=('QA', 'answer')
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.273) INSERT INTO `django_content_type` (`app_label`, `model`) VALUES ('QA', 'answer'); args=['QA', 'answer']
[01/Jul/2018 23:59:14] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'QA' AND `django_content_type`.`model` = 'question'); args=('QA', 'question')
[01/Jul/2018 23:59:15] DEBUG [django.db.backends:111] (0.016) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'QA' AND `django_content_type`.`model` = 'question'); args=('QA', 'question')
[01/Jul/2018 23:59:15] DEBUG [django.db.backends:111] (0.000) INSERT INTO `django_content_type` (`app_label`, `model`) VALUES ('QA', 'question'); args=['QA', 'question']
[01/Jul/2018 23:59:15] DEBUG [django.db.backends:111] (0.000) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (21, 22) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(21, 22)
[01/Jul/2018 23:59:15] DEBUG [django.db.backends:111] (0.000) INSERT INTO `auth_permission` (`name`, `content_type_id`, `codename`) VALUES ('Can add answer', 21, 'add_answer'), ('Can change answer', 21, 'change_answer'), ('Can delete answer', 21, 'delete_answer'), ('Can add question', 22, 'add_question'), ('Can change question', 22, 'change_question'), ('Can delete question', 22, 'delete_question'); args=('Can add answer', 21, 'add_answer', 'Can change answer', 21, 'change_answer', 'Can delete answer', 21, 'delete_answer', 'Can add question', 22, 'add_question', 'Can change question', 22, 'change_question', 'Can delete question', 22, 'delete_question')
[01/Jul/2018 23:59:15] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'QA'; args=('QA',)
[01/Jul/2018 23:59:15] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'social_django' AND `django_content_type`.`model` = 'association'); args=('social_django', 'association')
[01/Jul/2018 23:59:15] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'social_django' AND `django_content_type`.`model` = 'code'); args=('social_django', 'code')
[01/Jul/2018 23:59:15] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'social_django' AND `django_content_type`.`model` = 'nonce'); args=('social_django', 'nonce')
[01/Jul/2018 23:59:15] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'social_django' AND `django_content_type`.`model` = 'usersocialauth'); args=('social_django', 'usersocialauth')
[01/Jul/2018 23:59:15] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'social_django' AND `django_content_type`.`model` = 'partial'); args=('social_django', 'partial')
[01/Jul/2018 23:59:15] DEBUG [django.db.backends:111] (0.000) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (16, 17, 18, 19, 20) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(16, 17, 18, 19, 20)
[01/Jul/2018 23:59:15] DEBUG [django.db.backends:111] (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'social_django'; args=('social_django',)
